your desire doesn’t matter. your balance does.,
you stroke like a servant. you pay like a slave.,
your kink is your cage. i’m just the keyholder with a price.,dallas-030.png
this isn’t a kink. it’s an addiction—with interest.,
you’re here for one reason: to pay.,dallas-050.png
Princess Dallas is the line between need and bankruptcy.,dallas-023.png
i don’t entertain cheap talk.,
you’re not loyal. you’re replaceable.,
you don’t get to touch yourself until i say—and you better be paying while you wait.,
Princess Dallas doesn’t accept maybe. only money.,dallas-003.png
your guilt is so sexy when it comes with a receipt.,
"you can beg for mercy, but you’ll pay for silence.",
don’t apologize. compensate.,
obsession is free. access is not.,
he spends time in me. you spend time on my amazon wishlist.,dallas-001.png
imagine my voice telling you to send. now do it.,dallas-033.png
i haunt your thoughts for a reason.,dallas-038.png
you’re not allowed to cum thinking about me. you haven’t earned that release.,
every denied orgasm is another proof you belong to me.,dallas-019.png
you dream of me. i invoice for it.,dallas-055.png
your bank statement should tell the story of your submission.,
you didn’t accidentally find me. you were designed for this.,dallas-026.png
he finishes in me. you finish in tears.,
you can’t message me until you’ve tipped on my onlyfans.,
Princess doesn’t chase. she commands. and collects.,dallas-058.png
your wallet is mine. your release is optional.,
everything about me is expensive. including your obsession.,dallas-051.png
i won’t even open your dms until i see movement on my wishlist.,
no talk. just tip.,dallas-024.png
your worth is measured in how fast you open cashapp when you see my face.,
"every time you scroll past me, your debt grows.",dallas-041.png
you stroke to the fantasy. he lives the reality.,
"if it doesn’t hurt, it doesn’t count.",dallas-028.png
i'm not ignoring you. i’m waiting for your tribute to match your obsession.,dallas-052.png
